,Origin,Dest,Origin_lat,Origin_long,Dest_lat,Dest_long,Distance
290,ATL,SCE,33.636719,-84.428067,40.849278,-77.848694,990.783250417
291,ATL,SDF,33.636719,-84.428067,38.1740858,-85.7364989,518.25668243
292,ATL,SEA,33.636719,-84.428067,47.449,-122.309306,3506.10119554
293,ATL,SFO,33.636719,-84.428067,37.618972,-122.374889,3435.78906381
294,ATL,SGF,33.636719,-84.428067,37.245667,-93.388639,905.260281878
295,ATL,SHV,33.636719,-84.428067,32.446629,-93.8256,885.854167654
296,ATL,SJC,33.636719,-84.428067,37.3626,-121.929022,3398.71278411
297,ATL,SJU,33.636719,-84.428067,18.439417,-66.001833,2491.71948569
298,ATL,SLC,33.636719,-84.428067,40.788389,-111.977772,2554.38885451
299,ATL,SMF,33.636719,-84.428067,38.695417,-121.590778,3360.78208216
300,ATL,SNA,33.636719,-84.428067,33.675667,-117.868222,3082.26557046
301,ATL,SOP,33.636719,-84.428067,35.2376111,-79.3887958,495.315615655
302,ATL,SRQ,33.636719,-84.428067,27.395444,-82.554389,717.011219727
303,ATL,STL,33.636719,-84.428067,38.748697,-90.370028,779.251765391
304,ATL,STT,33.636719,-84.428067,18.337306,-64.973361,2575.62150334
305,ATL,STX,33.636719,-84.428067,17.701889,-64.798556,2639.0314767
306,ATL,SWF,33.636719,-84.428067,41.504094,-74.104839,1260.80303011
307,ATL,SYR,33.636719,-84.428067,43.111187,-76.106311,1278.03055229
308,ATL,TLH,33.636719,-84.428067,30.396528,-84.350333,360.480417147
309,ATL,TOL,33.636719,-84.428067,41.586806,-83.807833,885.966440861
310,ATL,TPA,33.636719,-84.428067,27.975472,-82.53325,655.160267172
311,ATL,TRI,33.636719,-84.428067,36.4752222,-82.4074167,365.396754274
312,ATL,TTN,33.636719,-84.428067,40.276692,-74.813469,1128.2460366
313,ATL,TUL,33.636719,-84.428067,36.198389,-95.888111,1082.60542762
314,ATL,TUP,33.636719,-84.428067,34.2681,-88.7699,406.675742726
315,ATL,TUS,33.636719,-84.428067,32.116083,-110.941028,2475.73984916
316,ATL,TVC,33.636719,-84.428067,44.741445,-85.582235,1239.14048272
317,ATL,TYS,33.636719,-84.428067,35.810972,-83.994028,245.074482734
318,ATL,VLD,33.636719,-84.428067,30.7825,-83.2767,335.448705815
319,ATL,VPS,33.636719,-84.428067,30.48325,-86.5254,402.614311791
320,ATL,XNA,33.636719,-84.428067,36.2818694,-94.3068111,946.848938363
321,ATW,ATL,44.257526,-88.507576,33.636719,-84.428067,1232.49810859
322,ATW,CVG,44.257526,-88.507576,39.048836,-84.667822,661.243147333
323,ATW,DTW,44.257526,-88.507576,42.212444,-83.353389,475.474651638
324,ATW,MKE,44.257526,-88.507576,42.947222,-87.896583,153.828198399
325,ATW,MSP,44.257526,-88.507576,44.881956,-93.221767,379.895406777
326,ATW,ORD,44.257526,-88.507576,41.978603,-87.904842,258.162613804
327,AUS,ABQ,30.194528,-97.669889,35.0402222,-106.6091944,995.273765294
328,AUS,ATL,30.194528,-97.669889,33.636719,-84.428067,1306.40283189
329,AUS,BHM,30.194528,-97.669889,33.562942,-86.75355,1096.32950339
330,AUS,BNA,30.194528,-97.669889,36.124472,-86.678194,1216.35447309
331,AUS,BOS,30.194528,-97.669889,42.364347,-71.005181,2730.5568451
332,AUS,BTR,30.194528,-97.669889,30.533167,-91.149639,626.810872922
333,AUS,BWI,30.194528,-97.669889,39.175361,-76.668333,2157.707935
334,AUS,CID,30.194528,-97.669889,41.884694,-91.710806,1405.47342706
335,AUS,CLE,30.194528,-97.669889,41.411689,-81.849794,1890.054047
336,AUS,COS,30.194528,-97.669889,38.805805,-104.700778,1153.58704064
337,AUS,CRP,30.194528,-97.669889,27.770361,-97.501222,270.138516958
338,AUS,CVG,30.194528,-97.669889,39.048836,-84.667822,1541.92057721
339,AUS,DAL,30.194528,-97.669889,32.847111,-96.851778,305.06948297
340,AUS,DEN,30.194528,-97.669889,39.861656,-104.673178,1249.21702212
341,AUS,DFW,30.194528,-97.669889,32.896828,-97.037997,306.484239638
342,AUS,DTW,30.194528,-97.669889,42.212444,-83.353389,1849.10672398
343,AUS,ELP,30.194528,-97.669889,31.80725,-106.377583,849.101463677
344,AUS,EWR,30.194528,-97.669889,40.6925,-74.168667,2417.66899888
345,AUS,GJT,30.194528,-97.669889,39.122413,-108.526735,1402.50122926
346,AUS,GPT,30.194528,-97.669889,30.407278,-89.070111,826.015442487
347,AUS,HOU,30.194528,-97.669889,29.645419,-95.278889,238.454307707
348,AUS,HRL,30.194528,-97.669889,26.2285,-97.654389,441.143247181
349,AUS,IAD,30.194528,-97.669889,38.944533,-77.455811,2085.01602115
350,AUS,IAH,30.194528,-97.669889,29.984433,-95.341442,225.302885679
351,AUS,IND,30.194528,-97.669889,39.717331,-86.294383,1479.89634851
352,AUS,JAX,30.194528,-97.669889,30.494056,-81.687861,1533.2277668
353,AUS,JFK,30.194528,-97.669889,40.639751,-73.778925,2446.2245367
354,AUS,LAS,30.194528,-97.669889,36.080056,-115.15225,1751.69317681
355,AUS,LAX,30.194528,-97.669889,33.942536,-118.408075,1994.9813576
