STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WDMV
GHCND:USC00112223,DE KALB IL US,20071008,-9999,-9999,0,0,0,317,183,183,32
GHCND:USC00112223,DE KALB IL US,20071009,-9999,-9999,10,0,0,300,89,94,84
GHCND:USC00112223,DE KALB IL US,20071010,-9999,-9999,0,0,0,239,61,61,-9999
GHCND:USC00112223,DE KALB IL US,20071011,-9999,-9999,0,0,0,122,61,61,233
GHCND:USC00112223,DE KALB IL US,20071012,-9999,-9999,0,0,0,128,33,39,68
GHCND:USC00112223,DE KALB IL US,20071013,-9999,-9999,0,0,0,139,33,83,23
GHCND:USC00112223,DE KALB IL US,20071014,-9999,-9999,5,0,0,144,83,117,31
GHCND:USC00112223,DE KALB IL US,20071015,-9999,-9999,36,0,0,172,111,117,45
GHCND:USC00112223,DE KALB IL US,20071016,-9999,-9999,257,0,0,228,117,150,37
GHCND:USC00112223,DE KALB IL US,20071017,-9999,-9999,0,0,0,183,83,89,47
GHCND:USC00112223,DE KALB IL US,20071018,-9999,-9999,155,0,0,217,89,172,122
GHCND:USC00112223,DE KALB IL US,20071019,-9999,-9999,3,0,0,244,117,117,150
GHCND:USC00112223,DE KALB IL US,20071020,-9999,-9999,0,0,0,150,67,67,137
GHCND:USC00112223,DE KALB IL US,20071021,-9999,-9999,0,0,0,228,61,144,77
GHCND:USC00112223,DE KALB IL US,20071022,-9999,-9999,0,0,0,261,128,128,109
GHCND:USC00112223,DE KALB IL US,20071023,-9999,-9999,38,0,0,122,39,39,69
GHCND:USC00112223,DE KALB IL US,20071024,-9999,-9999,0,0,0,144,33,50,47
GHCND:USC00112223,DE KALB IL US,20071025,-9999,-9999,0,0,0,122,33,56,114
GHCND:USC00112223,DE KALB IL US,20071026,-9999,-9999,3,0,0,133,50,106,113
GHCND:USC00112223,DE KALB IL US,20071027,-9999,-9999,56,0,0,172,94,94,53
GHCND:USC00112223,DE KALB IL US,20071028,-9999,-9999,0,0,0,133,-6,-6,47
GHCND:USC00112223,DE KALB IL US,20071029,-9999,-9999,0,0,0,139,-6,17,37
GHCND:USC00112223,DE KALB IL US,20071030,-9999,-9999,0,0,0,167,17,39,77
GHCND:USC00112223,DE KALB IL US,20071031,-9999,-9999,0,0,0,194,39,89,108
