STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070807,-9999,0,0,0,361,267,51,200,210,81,107,4
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070808,-9999,213,0,0,361,217,54,350,300,112,174,2155
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070809,-9999,76,0,0,367,217,22,200,240,94,125,2355
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070810,-9999,0,0,0,367,250,26,360,330,76,112,335
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070811,-9999,0,0,0,361,267,32,190,180,81,116,1359
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070812,-9999,0,0,0,389,261,16,30,30,134,170,2131
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070813,-9999,0,0,0,356,250,31,140,150,67,94,1156
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070814,-9999,0,0,0,389,278,35,230,250,72,107,1135
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070815,-9999,0,0,0,394,289,31,220,230,76,103,1447
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070816,-9999,51,0,0,372,278,28,80,80,81,116,1731
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070817,-9999,0,0,0,344,239,35,90,90,72,89,2014
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070818,-9999,0,0,0,328,233,40,200,180,81,107,1240
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070819,-9999,3,0,0,328,228,42,170,170,116,148,1537
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070820,-9999,3,0,0,339,222,31,210,190,103,134,2245
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070821,-9999,0,0,0,350,267,57,190,200,103,134,1545
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070822,-9999,3,0,0,339,256,51,170,170,143,192,1506
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070823,-9999,0,0,0,344,222,58,330,330,130,179,10
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070824,-9999,5,0,0,300,261,38,240,230,107,157,325
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070825,-9999,0,0,0,300,206,21,30,340,54,67,1449
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070826,-9999,0,0,0,311,211,40,150,130,72,103,1624
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070827,-9999,0,0,0,361,211,47,190,190,89,112,1452
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070828,-9999,0,0,0,361,250,44,200,210,81,125,1455
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070829,-9999,0,0,0,289,233,35,40,60,76,94,1001
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070830,-9999,0,0,0,311,217,33,20,20,63,76,1337
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070831,-9999,0,0,0,300,189,22,60,70,54,76,1344
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070901,-9999,0,0,0,311,178,25,70,80,67,76,1829
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070902,-9999,0,0,0,328,178,9,200,170,45,63,1605
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070903,-9999,0,0,0,344,189,19,190,200,72,89,1458
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070904,-9999,0,0,0,339,233,29,190,190,89,116,1810
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070905,-9999,0,0,0,283,217,43,210,210,81,112,1156
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070906,-9999,0,0,0,306,222,51,200,190,112,161,2349
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070907,-9999,305,0,0,306,206,32,290,280,157,210,21
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070908,-9999,0,0,0,289,189,20,90,50,45,67,1249
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070909,-9999,0,0,0,256,183,26,20,20,67,89,1121
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070910,-9999,0,0,0,256,133,36,360,360,81,107,1530
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070911,-9999,0,0,0,278,111,25,340,330,63,81,1629
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070912,-9999,0,0,0,261,128,26,150,170,58,72,2305
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070913,-9999,0,0,0,294,167,37,210,210,81,107,1041
