STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00481840,CODY WY US,20070909,-9999,-9999,8,0,0,89,56,83
GHCND:USC00481840,CODY WY US,20070910,-9999,-9999,0,0,0,206,6,200
GHCND:USC00481840,CODY WY US,20070911,-9999,-9999,0,0,0,267,50,261
GHCND:USC00481840,CODY WY US,20070912,-9999,-9999,0,0,0,283,128,278
GHCND:USC00481840,CODY WY US,20070913,-9999,-9999,0,0,0,278,50,144
GHCND:USC00481840,CODY WY US,20070914,-9999,-9999,0,0,0,206,33,206
GHCND:USC00481840,CODY WY US,20070915,-9999,-9999,0,0,0,278,94,239
GHCND:USC00481840,CODY WY US,20070916,-9999,-9999,0,0,0,272,117,256
GHCND:USC00481840,CODY WY US,20070917,-9999,-9999,0,0,0,256,72,200
GHCND:USC00481840,CODY WY US,20070918,-9999,-9999,0,0,0,200,78,156
GHCND:USC00481840,CODY WY US,20070919,-9999,-9999,28,0,0,183,39,161
GHCND:USC00481840,CODY WY US,20070920,-9999,-9999,0,0,0,261,61,250
GHCND:USC00481840,CODY WY US,20070921,-9999,-9999,0,0,0,256,50,206
GHCND:USC00481840,CODY WY US,20070922,-9999,-9999,0,0,0,283,94,250
GHCND:USC00481840,CODY WY US,20070923,-9999,-9999,5,0,0,250,122,133
GHCND:USC00481840,CODY WY US,20070924,-9999,-9999,0,0,0,133,28,83
GHCND:USC00481840,CODY WY US,20070925,-9999,-9999,0,0,0,150,6,133
GHCND:USC00481840,CODY WY US,20070926,-9999,-9999,0,0,0,183,94,178
GHCND:USC00481840,CODY WY US,20070927,-9999,-9999,0,0,0,222,50,217
GHCND:USC00481840,CODY WY US,20070928,-9999,-9999,0,0,0,256,67,239
GHCND:USC00481840,CODY WY US,20070929,-9999,-9999,0,0,0,239,83,89
GHCND:USC00481840,CODY WY US,20070930,-9999,-9999,0,0,0,189,17,178
GHCND:USC00481840,CODY WY US,20071001,-9999,-9999,0,0,0,222,50,139
GHCND:USC00481840,CODY WY US,20071002,-9999,-9999,0,0,0,139,33,122
GHCND:USC00481840,CODY WY US,20071003,-9999,-9999,0,0,0,156,83,139
GHCND:USC00481840,CODY WY US,20071004,-9999,-9999,0,0,0,139,28,89
GHCND:USC00481840,CODY WY US,20071005,-9999,-9999,53,0,0,94,44,56
GHCND:USC00481840,CODY WY US,20071006,-9999,-9999,173,0,0,56,0,33
GHCND:USC00481840,CODY WY US,20071007,-9999,-9999,25,0,0,72,6,61
GHCND:USC00481840,CODY WY US,20071008,-9999,-9999,0,0,0,161,44,156
GHCND:USC00481840,CODY WY US,20071009,-9999,-9999,0,0,0,200,28,189
GHCND:USC00481840,CODY WY US,20071010,-9999,-9999,0,0,0,233,39,228
GHCND:USC00481840,CODY WY US,20071011,-9999,-9999,0,0,0,228,67,161
GHCND:USC00481840,CODY WY US,20071012,-9999,-9999,0,0,0,167,28,139
GHCND:USC00481840,CODY WY US,20071013,-9999,-9999,5,0,0,133,72,100
GHCND:USC00481840,CODY WY US,20071014,-9999,-9999,0,0,0,161,44,150
GHCND:USC00481840,CODY WY US,20071015,-9999,-9999,0,0,0,167,11,156
GHCND:USC00481840,CODY WY US,20071016,-9999,-9999,0,0,0,178,11,156
GHCND:USC00481840,CODY WY US,20071017,-9999,-9999,25,0,0,156,44,61
GHCND:USC00481840,CODY WY US,20071018,-9999,-9999,0,0,0,83,17,72
GHCND:USC00481840,CODY WY US,20071019,-9999,-9999,0,0,0,128,50,106
GHCND:USC00481840,CODY WY US,20071020,-9999,-9999,28,0,0,106,6,6
GHCND:USC00481840,CODY WY US,20071021,-9999,-9999,10,0,0,72,-33,61
GHCND:USC00481840,CODY WY US,20071022,-9999,-9999,0,0,0,122,28,100
GHCND:USC00481840,CODY WY US,20071023,-9999,-9999,0,0,0,194,94,183
GHCND:USC00481840,CODY WY US,20071024,-9999,-9999,0,0,0,239,33,206
GHCND:USC00481840,CODY WY US,20071025,-9999,-9999,0,0,0,211,67,156
GHCND:USC00481840,CODY WY US,20071026,-9999,-9999,0,0,0,156,17,50
GHCND:USC00481840,CODY WY US,20071027,-9999,-9999,0,0,0,122,17,111
GHCND:USC00481840,CODY WY US,20071028,-9999,-9999,0,0,0,206,6,189
GHCND:USC00481840,CODY WY US,20071029,-9999,-9999,0,0,0,206,78,200
GHCND:USC00481840,CODY WY US,20071030,-9999,-9999,53,0,3,200,0,17
GHCND:USC00481840,CODY WY US,20071031,-9999,-9999,0,0,0,100,-33,89
GHCND:USC00481840,CODY WY US,20071101,-9999,-9999,0,0,0,117,28,111
GHCND:USC00481840,CODY WY US,20071102,-9999,-9999,0,0,0,111,-39,67
GHCND:USC00481840,CODY WY US,20071103,-9999,-9999,0,0,0,122,-6,117
GHCND:USC00481840,CODY WY US,20071104,-9999,-9999,0,0,0,178,94,139
GHCND:USC00481840,CODY WY US,20071105,-9999,-9999,0,0,0,139,-28,11
GHCND:USC00481840,CODY WY US,20071106,-9999,-9999,0,0,0,128,-61,94
GHCND:USC00481840,CODY WY US,20071107,-9999,-9999,0,0,0,183,72,156
GHCND:USC00481840,CODY WY US,20071108,-9999,-9999,0,0,0,183,94,117
GHCND:USC00481840,CODY WY US,20071109,-9999,-9999,0,0,0,178,33,111
GHCND:USC00481840,CODY WY US,20071110,-9999,-9999,0,0,0,178,61,139
GHCND:USC00481840,CODY WY US,20071111,-9999,-9999,25,0,0,139,6,33
GHCND:USC00481840,CODY WY US,20071112,-9999,-9999,0,0,0,122,-17,111
GHCND:USC00481840,CODY WY US,20071113,-9999,-9999,5,0,0,128,-6,56
GHCND:USC00481840,CODY WY US,20071114,-9999,-9999,0,0,0,56,-39,0
GHCND:USC00481840,CODY WY US,20071115,-9999,-9999,0,0,0,139,-56,67
GHCND:USC00481840,CODY WY US,20071116,-9999,-9999,0,0,0,139,39,106
GHCND:USC00481840,CODY WY US,20071117,-9999,-9999,0,0,0,133,50,89
