STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070730,-9999,0,0,300,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070731,-9999,0,0,289,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070801,-9999,0,0,311,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070802,-9999,0,0,300,161
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070803,-9999,0,0,311,161
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070804,-9999,0,0,278,150
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070805,-9999,0,0,278,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070806,-9999,0,0,250,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070807,-9999,0,0,228,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070808,-9999,0,0,228,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070809,-9999,0,0,278,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070810,-9999,0,0,311,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070811,-9999,0,0,289,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070812,-9999,0,0,311,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070813,-9999,0,0,289,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070814,-9999,0,0,311,150
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070815,-9999,0,0,300,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070816,-9999,0,0,278,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070817,-9999,0,0,289,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070818,-9999,0,0,278,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070819,-9999,0,0,272,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070820,0,0,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070821,0,0,0,300,78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070822,0,0,0,322,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070823,-9999,0,0,311,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070824,-9999,0,0,272,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070825,-9999,0,0,272,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070826,-9999,0,0,311,78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070827,-9999,0,0,311,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070828,-9999,0,0,211,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070829,-9999,0,0,272,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070830,-9999,0,0,278,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070831,-9999,0,0,278,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070901,-9999,0,0,272,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070902,-9999,0,0,272,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070903,-9999,0,0,278,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070904,-9999,0,0,278,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070905,-9999,0,0,289,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070906,-9999,0,0,289,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070907,-9999,0,0,228,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070908,0,0,0,261,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070909,0,0,0,261,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070910,-9999,0,0,278,78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070911,-9999,0,0,239,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070912,-9999,0,0,261,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070913,-9999,0,0,250,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070914,0,0,0,272,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070915,-9999,0,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070916,-9999,0,0,200,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070917,-9999,0,0,161,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070918,-9999,0,0,161,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070919,0,0,0,-9999,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070920,-9999,0,0,239,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070921,-9999,0,0,250,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070922,-9999,0,0,239,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070923,-9999,0,0,261,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070924,-9999,0,0,161,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070925,-9999,0,0,111,0
