STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TOBS
GHCND:USC00210643,BEMIDJI MN US,20080827,-9999,-9999,147,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080828,-9999,-9999,5,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080830,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080831,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080901,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080905,-9999,-9999,185,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080909,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080911,-9999,-9999,483,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080913,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080914,-9999,-9999,94,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080915,-9999,-9999,99,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080916,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080917,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080918,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080919,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080920,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080921,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080922,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080923,-9999,-9999,15,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080925,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080928,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080930,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20081001,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20081002,-9999,-9999,0,-9999,-9999,-9999,-9999
