Origin,Dest,IsDelayed
DCA,EWR,1039
DCA,FLL,596
DCA,GRR,72
DCA,HSV,165
DCA,IAH,661
DCA,IND,333
DCA,JAN,95
DCA,JAX,334
DCA,JFK,1236
DCA,LAS,136
DCA,LAX,55
DCA,LEX,170
DCA,LGA,3852
DCA,MCO,673
DCA,MEM,329
DCA,MHT,128
DCA,MIA,1055
DCA,MLB,54
DCA,MSN,43
DCA,MSP,754
DCA,MSY,89
DCA,ORD,1851
DCA,PBI,492
DCA,PHL,117
DCA,PHX,448
DCA,PIT,217
DCA,PLN,1
DCA,PVD,289
DCA,RDU,574
DCA,RSW,259
DCA,SAV,4
DCA,SEA,223
DCA,SLC,82
DCA,SRQ,6
DCA,STL,285
DCA,SYR,225
DCA,TPA,583
DCA,XNA,28
DEN,ABQ,997
DEN,AMA,31
DEN,ANC,239
DEN,ASE,998
DEN,ATL,1703
DEN,AUS,778
DEN,BDL,99
DEN,BFF,0
DEN,BFL,32
DEN,BHM,299
DEN,BIL,555
DEN,BIS,378
DEN,BNA,858
DEN,BOI,624
DEN,BOS,907
DEN,BUR,578
DEN,BWI,872
DEN,BZN,480
DEN,CAK,252
DEN,CDC,0
DEN,CID,320
DEN,CLE,283
DEN,CLT,787
DEN,CMH,216
DEN,COD,118
DEN,COS,1188
DEN,CPR,438
DEN,CVG,539
DEN,DAY,243
DEN,DCA,482
DEN,DFW,3065
DEN,DRO,654
DEN,DSM,482
DEN,DTW,1117
DEN,EGE,506
DEN,ELP,296
DEN,EUG,238
DEN,EWR,1077
DEN,FAR,393
DEN,FAT,388
DEN,FCA,75
DEN,FLL,376
DEN,FSD,524
DEN,FWA,0
DEN,GEG,502
DEN,GJT,664
DEN,GRR,135
DEN,GTF,258
DEN,GUC,297
DEN,HDN,375
DEN,HLN,0
DEN,HNL,92
DEN,HOU,246
DEN,HSV,102
DEN,IAD,1073
DEN,IAH,1553
DEN,ICT,589
DEN,IDA,258
DEN,IND,536
DEN,JAC,422
DEN,JAX,71
DEN,JFK,355
DEN,KOA,18
DEN,LAS,2598
DEN,LAX,2858
DEN,LGA,1745
DEN,LIH,1
DEN,LIT,0
DEN,LNK,443
DEN,MCI,1906
DEN,MCO,1112
